k	pattern	base_dec	digits	date	author	bits
18	KT18_P1	1378931799889412563577465677	28	9 Dec 2011	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	1657958103171451056593631007	28	26 Jan 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	1736329258497083632536036877	28	22 Mar 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	1752347810197939558619028007	28	22 Mar 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	2152095346273291005088484977	28	2 Dec 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	2348190884512663974906615487	28	17 Dec 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	2406179998282157386567481197	28	31 Dec 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
18	KT18_P1	2650778861583720495199114537	28	25 Feb 2013	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	3176488693054534709318830357	28	30 Jul 2013	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	3261917553005305074228431077	28	30 Jul 2013	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	3361885098594416802447362317	28	30 Jul 2013	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	4483200447126419500533043987	28	4 Jan 2014	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	4652363394518920290108071167	28	4 Jan 2014	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	4668263977931056970475231217	28	4 Jan 2014	Raanan Chermoni & Jaroslaw Wroblewski	92
18	KT18_P1	5621078036155517013724659007	28	4 Mar 2014	Raanan Chermoni & Jaroslaw Wroblewski	93
18	KT18_P1	5867208169546174917450987997	28	11 Mar 2014	Raanan Chermoni & Jaroslaw Wroblewski	93
19	KT19_P0	204480527545513119437376727	27	24 Apr 2026	John Armitage	88
19	KT19_P1	362446150252909869314435203	27	24 Apr 2026	John Armitage	89
19	KT19_P1	428407853295060068253460573	27	25 Apr 2026	John Armitage	89
19	KT19_P3	630134041802574490482213901	27	9 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
19	KT19_P3	656632460108426841186109951	27	19 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
19	KT19_P3	917810189564189435979968491	27	29 May 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
19	KT19_P3	2348190884512663974906615481	28	17 Dec 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
19	KT19_P3	2406179998282157386567481191	28	31 Dec 2012	Raanan Chermoni & Jaroslaw Wroblewski	91
19	KT19_P2	39433867730216371575457664407	29	8 Jan 2015	Raanan Chermoni & Jaroslaw Wroblewski	95
19	KT19_P2	138433730977092118055599751677	30	8 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
19	KT19_P2	248283957683772055928836513597	30	1 Aug 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
19	KT19_P0	622803914376064301858782434517	30	27 Dec 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	3941119827895253385301920029	28	24 Jun 2014	Raanan Chermoni & Jaroslaw Wroblewski	92
20	KT20_P0	14374153072440029138813893241	29	6 Oct 2014	Raanan Chermoni & Jaroslaw Wroblewski	94
20	KT20_P0	17546231261175189855273591491	29	11 Dec 2014	Raanan Chermoni & Jaroslaw Wroblewski	94
20	KT20_P1	38299233570943052294942174849	29	9 Jan 2015	Raanan Chermoni & Jaroslaw Wroblewski	95
20	KT20_P1	39433867730216371575457664399	29	8 Jan 2015	Raanan Chermoni & Jaroslaw Wroblewski	95
20	KT20_P0	40814702190384518551961455541	29	6 Feb	2015, Raanan Chermoni & Jaroslaw Wroblewski	96
20	KT20_P0	58228410683159656922037124961	29	30 April 30 2015	Raanan Chermoni & Jaroslaw Wroblewski	96
20	KT20_P0	69611500022230424427263424221	29	22 Apr 2015	Raanan Chermoni & Jaroslaw Wroblewski	96
20	KT20_P1	97344384991448238094880899499	29	11 Jul 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P1	111286948968140923889225384099	30	12 Aug 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P0	114601431611676407654036210321	30	3 Sep 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P1	121888742383899006588229597469	30	9 Sep 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P1	131353007727172552185076031849	30	8 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P0	131900255854906356663126180791	30	20 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P1	138433730977092118055599751669	30	8 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P1	140005104744811513908777956909	30	8 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P1	140661282456312925227370009589	30	8 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P0	154016910009801751265474541311	30	16 Dec 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
20	KT20_P0	161375347518710752668754312691	30	3 Jan 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P0	182129285194786190875974840371	30	16 Mar 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P0	185986500598659638316208079201	30	16 Mar 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P0	187976201367296936422347098471	30	16 Mar 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P0	220974232729147341120519932981	30	31 May 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P0	227104691557231224024329351201	30	1 Aug 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P0	242145669497919182306126385461	30	1 Aug 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P1	248283957683772055928836513589	30	1 Aug 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P1	260786413629117930695179308299	30	7 Dec 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
20	KT20_P1	320430661688896578454772807699	30	24 May 2017	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	349021296319127268299400177269	30	24 May 2017	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P0	352259532126245901475150592651	30	24 May 2017	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P0	400327605553593948618674105711	30	7 Dec 2017	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P0	403065917762608576939692599261	30	7 Dec 2017	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	452101241612347545944528242469	30	28 Jan 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P0	466435879660522367654413675211	30	15 Mar 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	494179332730633784520908832239	30	23 May 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P0	562324418721793120042174985351	30	30 Aug 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	562422394447827908154562532159	30	30 Aug 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	593820854957327357933627374349	30	23 Dec 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	594750459626903777773717631519	30	23 Dec 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P0	622803914376064301858782434521	30	23 Dec 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
20	KT20_P1	639121700726230052098229452019	30	23 Dec 2018	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	667424014858149638371951648871	30	18 Feb 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	686962597479437604159786541481	30	27 Apr 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	701870455949526598513130862539	30	7 Apr 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	764364269069907627842423582909	30	17 Jul 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	789292095021856634277511882469	30	19 Aug 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	807462397198198801670343382679	30	25 Sept 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	831504454982803270879178298359	30	17 Oct 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	839013472011818416634745523991	30	28 Oct 2019	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	957278727962618711849051282459	30	23 Mar 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	999627565307688186459783232931	30	19 Jun 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	1060475118776959297139870952701	31	18 Sep 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	1094372814043722195189448411199	31	20 Oct 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	1126002593922465663847897293731	31	17 Nov 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P0	1135540756371356698957890225821	31	19 Dec 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	1153897621507935436463788957529	31	26 Dec 2020	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	1188350591359110800209379560799	31	21 Jan 2021	Raanan Chermoni & Jaroslaw Wroblewski	100
20	KT20_P1	1236637204227022808686214288579	31	23 May 2021	Raanan Chermoni & Jaroslaw Wroblewski	100
21	KT21_P0	39433867730216371575457664399	29	8 Jan 2015	Raanan Chermoni & Jaroslaw Wroblewski	95
21	KT21_P0	138433730977092118055599751669	30	8 Oct 2015	Raanan Chermoni & Jaroslaw Wroblewski	97
21	KT21_P0	248283957683772055928836513589	30	1 Aug 2016	Raanan Chermoni & Jaroslaw Wroblewski	98
21	KT21_P1	622803914376064301858782434517	30	December 27	2018, Raanan Chermoni & Jaroslaw Wroblewski	99
